Quarter,Year,Quarter_Label,Average_Price_SGD,Index_Base_2007Q2
Q1,2007,2007 Q1,410625,98.8
Q2,2007,2007 Q2,415417,100.0
Q3,2007,2007 Q3,432375,104.1
Q4,2007,2007 Q4,429800,103.5
Q1,2008,2008 Q1,475971,114.6
Q2,2008,2008 Q2,481833,116.0
Q3,2008,2008 Q3,489643,117.9
Q4,2008,2008 Q4,466450,112.3
Q1,2009,2009 Q1,477167,114.9
Q2,2009,2009 Q2,486650,117.2
Q3,2009,2009 Q3,502029,120.9
Q4,2009,2009 Q4,501250,120.7
Q1,2010,2010 Q1,527400,127.0
Q2,2010,2010 Q2,544118,131.0
Q3,2010,2010 Q3,555438,133.7
Q4,2010,2010 Q4,553875,133.3
Q1,2011,2011 Q1,574833,138.4
Q2,2011,2011 Q2,581167,139.9
Q3,2011,2011 Q3,594250,143.1
Q4,2011,2011 Q4,595500,143.4
Q1,2012,2012 Q1,625900,150.7
Q2,2012,2012 Q2,630600,151.8
Q3,2012,2012 Q3,643575,154.9
Q4,2012,2012 Q4,634750,152.8
Q1,2013,2013 Q1,654900,157.7
Q2,2013,2013 Q2,665000,160.1
Q3,2013,2013 Q3,677250,163.0
Q4,2013,2013 Q4,655500,157.8
Q1,2014,2014 Q1,644000,155.0
Q2,2014,2014 Q2,671800,161.7
Q3,2014,2014 Q3,691000,166.3
Q4,2014,2014 Q4,662800,159.6
Q1,2015,2015 Q1,664000,159.8
Q2,2015,2015 Q2,680875,163.9
Q3,2015,2015 Q3,676750,162.9
Q4,2015,2015 Q4,657625,158.3
Q1,2016,2016 Q1,667000,160.6
Q2,2016,2016 Q2,680400,163.8
Q3,2016,2016 Q3,696417,167.6
Q4,2016,2016 Q4,690000,166.1
Q1,2017,2017 Q1,682250,164.2
Q2,2017,2017 Q2,685750,165.1
Q3,2017,2017 Q3,690125,166.1
Q4,2017,2017 Q4,686250,165.2
Q1,2018,2018 Q1,672750,162.0
Q2,2018,2018 Q2,698500,168.1
Q3,2018,2018 Q3,703200,169.3
Q4,2018,2018 Q4,687500,165.5
Q1,2019,2019 Q1,688000,165.6
Q2,2019,2019 Q2,693250,166.9
Q3,2019,2019 Q3,694000,167.1
Q4,2019,2019 Q4,686000,165.1
Q1,2020,2020 Q1,692000,166.6
Q2,2020,2020 Q2,642100,154.6
Q3,2020,2020 Q3,679875,163.7
Q4,2020,2020 Q4,660250,159.0
Q1,2021,2021 Q1,701100,168.8
Q2,2021,2021 Q2,738400,177.8
Q3,2021,2021 Q3,724875,174.5
Q4,2021,2021 Q4,735500,177.1
Q1,2022,2022 Q1,738000,177.7
Q2,2022,2022 Q2,769875,185.3
Q3,2022,2022 Q3,773125,186.1
Q4,2022,2022 Q4,792250,190.7
Q1,2023,2023 Q1,796000,191.6
Q2,2023,2023 Q2,792063,190.7
Q3,2023,2023 Q3,797250,191.9
Q4,2023,2023 Q4,792250,190.7
Q1,2024,2024 Q1,835500,201.1
Q2,2024,2024 Q2,801000,192.8
Q3,2024,2024 Q3,824625,198.5
Q4,2024,2024 Q4,831625,200.2
Q1,2025,2025 Q1,835500,201.1
Q2,2025,2025 Q2,860500,207.1
Q3,2025,2025 Q3,864250,208.0
Q4,2025,2025 Q4,857000,206.3
Q1,2026,2026 Q1,926000,222.9
Q2,2026,2026 Q2,924900,222.6
