town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,transaction_year,transaction_month_num,remaining_lease_years,age_of_flat_at_transaction,price_per_sqm
pasir ris,executive,239,pasir ris st 21,10 to 12,147.0,apartment,1993,75 years 07 months,552888.0,2017,1,75,24,3761.1428571428573
pasir ris,executive,116,pasir ris st 11,01 to 03,155.0,maisonette,1989,71 years,598000.0,2017,1,71,28,3858.064516129032
pasir ris,executive,237,pasir ris st 21,10 to 12,161.0,apartment,1993,75 years 06 months,600000.0,2017,1,75,24,3726.7080745341614
pasir ris,executive,108,pasir ris st 12,10 to 12,146.0,maisonette,1988,70 years 08 months,638000.0,2017,1,70,29,4369.86301369863
pasir ris,executive,531,pasir ris dr 1,04 to 06,165.0,maisonette,1992,74 years 11 months,728000.0,2017,1,74,25,4412.121212121212
pasir ris,executive,644,pasir ris dr 10,01 to 03,143.0,apartment,1995,77 years 08 months,505000.0,2017,2,77,22,3531.4685314685316
pasir ris,executive,267,pasir ris st 21,01 to 03,148.0,apartment,1994,76 years 08 months,505000.0,2017,2,76,23,3412.162162162162
pasir ris,executive,710,pasir ris st 72,04 to 06,146.0,apartment,1996,78 years 04 months,530000.0,2017,2,78,21,3630.1369863013697
pasir ris,executive,203,pasir ris st 21,07 to 09,146.0,apartment,1993,75 years 09 months,542000.0,2017,2,75,24,3712.328767123288
pasir ris,executive,651,pasir ris dr 10,10 to 12,149.0,apartment,1995,77 years 07 months,550000.0,2017,2,77,22,3691.2751677852348
pasir ris,executive,246,pasir ris st 21,10 to 12,148.0,apartment,1993,75 years 05 months,561000.0,2017,2,75,24,3790.5405405405404
pasir ris,executive,456,pasir ris dr 4,07 to 09,149.0,apartment,1992,74 years 10 months,583000.0,2017,2,74,25,3912.751677852349
pasir ris,executive,101,pasir ris st 12,04 to 06,146.0,maisonette,1988,70 years 09 months,588000.0,2017,2,70,29,4027.3972602739727
pasir ris,executive,544,pasir ris st 51,10 to 12,143.0,apartment,1992,74 years 10 months,618000.0,2017,2,74,25,4321.6783216783215
pasir ris,executive,448,pasir ris dr 6,07 to 09,154.0,maisonette,1989,71 years 10 months,658000.0,2017,2,71,28,4272.727272727273
pasir ris,executive,779,pasir ris st 71,13 to 15,144.0,apartment,1996,78 years 06 months,670000.0,2017,2,78,21,4652.777777777777
pasir ris,executive,604,elias rd,07 to 09,150.0,apartment,1995,77 years 01 month,690000.0,2017,2,77,22,4600.0
pasir ris,executive,251,pasir ris st 21,04 to 06,150.0,apartment,1993,75 years 04 months,520000.0,2017,3,75,24,3466.6666666666665
pasir ris,executive,156,pasir ris st 13,01 to 03,147.0,apartment,1995,76 years 11 months,530000.0,2017,3,76,22,3605.4421768707484
